ID,nper,anio,mes,GR,ronda,region,REGION_4,dpto,nom_dpto,barrio,ccz,ESTRED13,LOC_AGR_13,NOM_LOC_AGR_13,h2_cv,h4_1_cv,d23,d24,d25,e0_cv,e01_cv,e1_cv,e557,e26,e27,e29_1,e29_2,e29_3,e29_4,e29_5,e29_6,e49,e51_2,e197_1,e51_3,e51_4_a,e201_1a,e51_4_b,e201_1b,e51_5,e201_1c,e51_6,e201_1d,e209_1,e51_6a,e51_6b,e214_1,e51_8,e215_1,e217_1,e51_9,e218_1,e220_1,e51_10,e221_1,e223_1,e51_11,e224_1,e226_1,f269,f270,f271,f272,f273,f69,f69_1,f274,f275,f276,f277,f70,f304,f302,f303,f71_2,f72_2,f73,f82,f305,f306,f284_1,f284_2,f284_3,f284_4,f284_5,f284_6,f284_7,f85,f311,f309,f310,f90_2,f91_2,f92,f96,f296_1,f296_2,f296_3,f296_4,f296_5,f296_6,f296_7,f98,f99,f100,f101,f102,f103,f297,f298,f104,f299,f110,f111,f113,f114,f115,f300,f108,f301,f106,f116,f117,f124_1,f124_2,f124_3,f124_5,POBPCOAC,SUBEMPLEO,NIV_EDU,W,SIT_OCUP,INFORMAL,SECTOR_F
48018,5,2024,1,26,6,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,5,0,5,2,0,1,2,1,14,2,2,1,2,2,0,3,6,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,0,3,2,0,2,2,2,1,7,0,1. CB incompleto o menos,129,NA,0,NA
48020,1,2024,1,26,6,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,1,3,2,0,1,1,2,38,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,5,1,55138,0,0,0,2,1,66234,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,2619,8430,2,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,133,Empleado,0,Formal
48020,2,2024,1,26,6,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,1,3,2,0,1,2,1,41,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,3512,9511,1,1,3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,133,Empleado,0,Formal
48021,1,2024,1,26,6,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,3,1,4,2,0,1,1,2,49,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,1,1,66234,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3341,4630,1,1,3,0,0,8,8,8,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,123,Empleado,0,Formal
48021,2,2024,1,26,6,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,3,1,4,2,0,1,2,1,51,2,2,1,2,2,0,1,6,1,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1120,4630,1,1,3,0,0,8,8,8,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,2. CB completo o EMS incomp,123,Empleado,0,Formal
48021,3,2024,1,26,6,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,3,1,4,2,0,1,2,2,15,2,2,1,2,2,0,3,6,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,0,3,2,0,2,2,2,2,7,0,1. CB incompleto o menos,123,NA,0,NA
51877,1,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,0,2,2,0,1,1,2,61,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,9,2,55134,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,2,2,1,10,0,3. Sec. completa o terciaria incomp,104,NA,0,NA
51877,2,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,0,2,2,0,1,2,1,63,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,1420,4510,4,1,3,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,4. Terciario completo o posgrado,104,Empleador,0,Formal
55687,1,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,0,2,2,0,1,1,2,60,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,55138,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1120,1610,4,1,1,0,0,8,8,8,8,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,94,Empleador,0,Formal
55687,2,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,0,2,2,0,1,2,1,60,2,2,1,2,2,0,1,6,1,0,0,0,2,2,0,0,0,0,0,2,1,33254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1120,1610,4,1,1,0,0,8,8,8,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,1. CB incompleto o menos,94,Empleador,0,Formal
55688,1,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,2,4,2,0,1,1,1,50,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55248,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,2522,6201,1,1,3,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,3. Sec. completa o terciaria incomp,131,Empleado,0,Formal
55688,2,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,2,2,4,2,0,1,2,2,45,2,2,1,2,2,0,3,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55148,0,0,0,1,2,66248,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,2529,8610,2,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,4. Terciario completo o posgrado,131,Empleado,0,Formal
55689,1,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,1,0,1,2,0,1,1,1,52,2,2,1,2,2,0,3,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,1,2,66234,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1120,7730,4,1,6,0,0,6,6,6,6,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,168,Empleador,0,Formal
55690,1,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,1,1,61,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,5,1,55162,0,0,0,2,1,66234,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2411,6810,1,1,3,0,0,8,8,8,8,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,4. Terciario completo o posgrado,211,Empleado,0,Formal
55690,2,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,2,2,57,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,55134,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,11,0,3,1,2,2,2,2,1,6,0,3. Sec. completa o terciaria incomp,211,NA,0,NA
55690,3,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,2,1,30,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2411,4669,1,1,3,0,0,8,8,8,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,211,Empleado,0,Formal
55690,4,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,2,1,28,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,2,1,66234,2,2,0,0,1,1,0,0,0,0,0,2,1,1,1,2411,1311,1,1,3,0,0,0,0,0,0,0,0,40,1,1,1,5249,8530,1,1,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,4. Terciario completo o posgrado,211,Empleado,0,Formal
55690,5,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,2,2,26,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55121,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2163,3100,1,1,4,0,0,8,8,8,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,211,Empleado,0,Formal
55690,6,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,2,1,25,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55131,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,3413,8510,1,1,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,4. Terciario completo o posgrado,211,Empleado,0,Formal
55690,7,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,7,0,7,2,0,1,2,2,21,2,2,1,2,2,0,3,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,55154,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8,0,1,2,0,2,2,2,2,7,0,3. Sec. completa o terciaria incomp,211,NA,0,NA
51878,1,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,1,0,1,2,0,1,1,2,68,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,55134,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,1,2,1,2,1,1,10,0,3. Sec. completa o terciaria incomp,99,NA,0,NA
55691,1,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,0,4,2,0,1,1,2,54,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,2,1,33234,0,0,0,0,0,0,2,2,55234,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,2423,6910,1,1,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,147,Empleado,0,Formal
55691,2,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,0,4,2,0,1,2,1,55,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,4311,4753,1,1,8,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,147,Empleado,0,Formal
55691,3,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,0,4,2,0,1,2,1,23,2,2,1,2,2,0,3,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,55172,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,0,3,1,2,2,2,2,1,7,0,3. Sec. completa o terciaria incomp,147,NA,0,NA
55691,4,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,0,4,2,0,1,2,1,21,2,2,1,2,2,0,3,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,55234,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,4311,6920,1,1,8,0,0,4,4,4,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3. Sec. completa o terciaria incomp,147,Empleado,0,Formal
51879,1,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,1,1,2,2,0,1,1,2,39,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55131,0,0,0,2,1,66231,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2634,8610,1,1,8,0,0,4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,113,Empleado,0,Formal
51880,1,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,2,6,2,0,1,1,2,68,2,2,1,1,2,3,1,6,1,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,3,2,0,2,1,2,1,9,0,2. CB completo o EMS incomp,137,NA,0,NA
51880,2,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,2,6,2,0,1,2,1,73,2,2,1,2,2,0,1,6,1,0,3,1,0,0,0,0,3,1,33262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,6121,0141,4,1,8,0,0,8,0,8,8,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,3. Sec. completa o terciaria incomp,137,Empleador,0,Formal
51880,3,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,2,6,2,0,1,2,2,28,2,2,1,2,2,0,3,6,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,1,1,9334,4711,1,1,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,0,1. CB incompleto o menos,137,Empleado,0,Formal
51880,4,2024,1,28,4,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,2,6,2,0,1,2,2,42,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,8,1,55172,0,0,0,4,1,66272,2,2,0,0,1,1,0,0,0,0,0,2,1,1,1,2212,8610,1,1,8,0,0,0,0,0,0,0,0,30,1,1,1,2212,8790,1,1,0,0,0,0,0,0,0,20,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,4. Terciario completo o posgrado,137,Empleado,0,Formal
55692,1,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,0,4,2,0,1,1,2,53,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55132,0,0,0,0,0,0,2,2,0,0,1,2,0,2,1,0,0,2,1,2,0,3332,9000,9,2,7,2,0,0,0,0,0,0,0,15,1,1,1,3432,7410,9,2,0,0,0,0,0,0,0,30,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,4. Terciario completo o posgrado,147,Cuentapropistas,1,Informal
55692,2,2024,1,30,2,1,1,1,Montevideo,14,8,5,01010,Montevideo,1,0,4,0,4,2,0,1,2,1,55,2,2,1,2,2,0,1,6,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,55134,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1120,1075,4,1,3,0,0,8,8,8,8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,4. Terciario completo o posgrado,147,Empleador,0,Formal
